busting				
length	comprimento,duração	/<span class="ipa dipa">leŋkθ</span>/	[sound:6001-7000-cambridge-length.mp3]	how long something is from one end to the other
iced				
fantasies				
element	elemento,um pouco de algo,ficar bem à vontade	/<span class="ipa dipa">ˈel·ə·mənt</span>/	[sound:6001-7000-cambridge-element.mp3]	a part of something
deeds				
Clarke				
cigars				
Bradley				
bore	passado de “bear”,entediar,pessoa chata,coisa/situação maçante,entediante,cansativa	/<span class="ipa dipa">bɔr</span>/	[sound:6001-7000-cambridge-boar.mp3]	past tense of bear
babysitter	babá que cuida de crianças na casa delas	/<span class="ipa dipa">ˈbeɪ·biˌsɪt̬·ər</span>/	[sound:6001-7000-cambridge-usavowa029.mp3]	someone who looks after children while their parents are not at home
sponge	esponja,esponjoso,encharcado	/<span class="ipa dipa">spʌndʒ</span>/	[sound:6001-7000-cambridge-sponge.mp3]	a soft substance full of small holes, used for washing things
sleepy	sonolento,sonolentamente	/<span class="ipa dipa">ˈsli·pi</span>/	[sound:6001-7000-cambridge-sleepy.mp3]	feeling tired and wanting to go to sleep
Rita				
questioned				
peek	espiar,dar uma espiada		[sound:6001-7000-cambridge-peak.mp3]	to look, especially for a short time or while trying to avoid being seen
outrageous	ultrajante,escandaloso,ultrajantemente,afrontosamente	/<span class="ipa dipa">ɑʊtˈreɪ·dʒəs</span>/	[sound:6001-7000-cambridge-eus75370.mp3]	shocking or very unusual
nigger				
medal	medalha	/<span class="ipa dipa">ˈmed·<span class="sp dsp">ə</span>l</span>/	[sound:6001-7000-cambridge-medal.mp3]	a piece of metal given as a prize in a competition or given to someone who has been very brave
Kiriakis				
insulted				
hu				
grudge	rancor,motivo de rancor,dar de má vontade,invejar	/<span class="ipa dipa">ɡrʌdʒ</span>/	[sound:6001-7000-cambridge-grudge.mp3]	a bad or angry feeling towards someone because of something they did in the past
established	firmar-se	/<span class="ipa dipa">ɪˈstæb.lɪʃt</span>/	[sound:6001-7000-cambridge-cald4us0774.mp3]	to start growing successfully somewhere
